,Song_name,pink
82,stop falling   ,"""I ain't looking for a steady thing I ain't looking for what love brings I'm still young and I ain't ready babe I'm still looking for some better days I don't want to give you everything I just want to make you feel things If you ain't down to give me everything Just throw it away"", ""Don't assume cause I'm a woman that I'll fall in love Don't expect I'm young and need to be took care of Don't wanna hear you've got what I need Cause how would you know before we speak You've got to understand my side I've had a crazy, crazy life Nobody came along to open up my eyes You better take what you can get Don't even bother with my heart If I get a feeling I won't let it start"", ""I ain't looking for a steady thing I ain't looking for what love brings I'm still young and I ain't ready babe I'm still looking for some better days I don't want to give you everything I just want to make you feel things If you ain't down to give me everything Just throw it away"", ""Please believe me I've been down this road and back again Learned a lesson and it was that love is not a friend The day I put my trust in you Will be the day I say 'I do' Don't expect me just to open up Maybe I'm just a little scared Please don't tell me what you think I wanna hear Oh baby save it I've heard it all before There ain't nothing you could say Ohhh to make me change my mind"", ""I ain't looking for a steady thing I ain't looking for what love brings I'm still young and I ain't ready babe I'm still looking for some better days I don't want to give you everything I just want to make you feel things If you ain't down to give me everything Just throw it away"", ""So stop falling Stop falling You know you're falling, for me. Stop falling Stop falling. Stop falling, for me"", ""You've got to understand my side I've had a crazy, crazy life Nobody came along to open up my eyes Oh baby, take what you can get Don't even bother with my heart If I get a feeling I won't let it start"", ""I ain't looking for a steady thing I ain't looking for what love brings I'm still young and I ain't ready babe I'm still looking for some better days I don't want to give you everything I just want to make you feel things If you ain't down to give me everything Just throw it away"", ""Stop falling, mmmmm... yeah..."""
83,courage   ,"""I'm walking uphill both ways, it hurts I bury my heart here in this dirt I hope it's a seed, I hope it works I need to grow, here I could be Closer to light, closer to me I don't have to do this perfectly, yeah"", ""Rain, it pours, rain, it pours It's pouring on me The rain, it falls, rain, it falls Sowing the seeds of love and hope, love and hope We don't have to stay, stuck in the way"", ""Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh) Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh)"", ""I'm walking uphill both ways, it hurts (Have I the courage to change?) I bury my heart here in this dirt (Have I the courage to change today? Oh) I hope it's a seed, I hope it works (Have I the courage to change?) I need to grow, here I could be (Have I the courage to change?) Closer to light, closer to me (Have I the courage to change today? Oh) I don't have to do this perfectly"", ""See, I let the light in the darkest places Let the sun shine, pain goes away Nothing is permanent for me, yeah Flowers, they bloom and fade away The beauty, it happened inside of me Even if it's a memory, yeah"", ""Rain, it pours, rain, it pours It's pouring on me The rain, it falls, rain, it falls Sowing the seeds of love and hope, love and hope We don't have to stay, stuck in the way"", ""Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh) Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh)"", ""I'm walking uphill both ways, it hurts (Have I the courage to change?) I bury my heart here in this dirt (Have I the courage to change today? Oh) I hope it's a seed, I hope it works (Have I the courage to change?) I need to grow, here I could be (Have I the courage to change?) Closer to light, closer to me (Have I the courage to change today? Oh) I don't have to do this perfectly"", ""Oh, oh, oh, oh Oh, oh, oh, oh"", ""Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh) Have I the courage of change? Have I the courage of change? Have I the courage of change today? (Oh)"", ""I'm walking uphill both ways, it hurts (Oh) (Have I the courage to change?) I bury my heart here in this dirt (Have I) (Have I the courage to change today? Oh) I hope it's a seed, I hope it works (Have I, have I) (Have I the courage to change?) I need to grow, here I could be (Ooh) (Have I the courage to change?) Closer to light, closer to me (Ooh-ah) (Have I the courage to change today? Oh) I don't have to do this perfectly (Have I) Today, today"""
84,last to know   ,"""why was I the last to know that you weren't comin to my show you could'a called me up to say good luck you could'a called me back you stupid fuck why was I the last to know?"", ""first date we ate sushi and it went well I was funny and you said I was a cutie thats the last thing I heard from you I left tickets at the door for you I had to tell my mum that there was no more room you didn't show that was so uncool you could'a called me back"", ""so I guess this means that we're not friends anymore I heard it's me your asking for I thought I'd see you the show you said you'd go"", ""why was I the last to know that you weren't comin' to my show you could'a called me up to say good luck you could'a called me back you stupid fuck why was I the last to know? why was I the last to know?"", ""after the date I wouldn't go home with you I wouldn't put my heels in the air for you tried to get me to do things I just won't do the last I heard from you heres how I guess the story goes you would'a came if I was a hoe fuck for parts thats just not how I role move it on down the road"", ""so I guess we shouldn't be friends anymore im sick of hearing that it's me your asking for 'cause I thought I'd see you the show you said you'd go"", ""why was I the last to know that you weren't comin to my show you could'a called me up to say good luck you could'a called me back you stupid fuck why was I the last to know? why was I the last to know?"", ""you thought you knew me I guess you didn't you thought you had me I think you didn't you thought you knew me I guess you didn't"", ""why was I the last to know that you weren't comin to my show you could'a called me up to say good luck you could'a called me back you stupid fuck why was I the last to know? why was I the last to know? why was I the last to know? yes... The last to know why was I the last to know? why was I the last to know? you could'a called me up The last to know"""
85,hustle   ,"""I gave you soft, I gave you sweet Just like a lion you came for sheep Oh no, don't try to hustle me"", ""You took my love, mistook it for weakness I guarantee I won't repeat this No, don't try to hustle me (Try to hustle me)"", ""I live my life like a bullet in a gun Give you all my love 'til my patience is done Oh no, don't try to hustle me"", ""So don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""So don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""A boy like you, you think you know it all Build it up and you're bound to fall Oh no, don't try to hustle me I spend my days trying do you right But you've been blind You can't see the light Oh no, don't try to hustle me"", ""'Cause I live my life like a bullet in a gun Give you all my love 'til my patience is done Oh no, don't try to hustle me"", ""So don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""So don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""'Cause it won't do no good at all to say you're sorry now Your words, they are falling on deaf ears It won't do no good at all to try to work it out How can you replace all these years? So now you've gone and thrown away The very thing you needed Bitch please, don't try to hustle me"", ""Don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""Don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""Don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"", ""So don't hustle me (whoop whoop) Don't hustle me (whoop whoop) Don't fuck with me (whoop whoop) Don't hustle me (whoop whoop)"""
86,blow me one last kiss   ,"""White knuckles and sweaty palms from hanging on too tight Clenched shut jaw, I've got another headache again tonight Eyes on fire, eyes on fire, and they burn from all the tears I've been crying, I've been crying, I've been dying over you Tie a knot in the rope, tryin' to hold, tryin' to hold, But there's nothing to grasp so I let go"", ""I think I've finally had enough, I think I maybe think too much I think this might be it for us (blow me one last kiss) You think I'm just too serious, I think you're full of shit My head is spinning so (blow me one last kiss)"", ""Just when it can't get worse, I've had a shit day (NO!) Have you had a shit day? (NO!), we've had a shit day (NO!) I think that life's too short for this, I want back my ignorance and bliss I think I've had enough of this, blow me one last kiss."", ""I won't miss all of the fighting that we always did, Take it in, I mean what I say when I say there is nothing left No more sick whiskey dick, no more battles for me You'll be calling a trick, 'cause you'll no longer sleep I'll dress nice, I'll look good, I'll go dancing alone I will laugh, I'll get drunk, I'll take somebody home"", ""I think I've finally had enough, I think I maybe think too much I think this might be it for us (blow me one last kiss) You think I'm just too serious, I think you're full of shit My head is spinning so (blow me one last kiss)"", ""Just when it can't get worse, I've had a shit day (No!) Have you had a shit day? (No!), we've had a shit day (No!) I think that life's too short for this, I want back my ignorance and bliss I think I've had enough of this, blow me one last kiss."", ""Na na na na - da da da da Blow me one last kiss"", ""Na na na na - da da da da Blow me one last kiss"", ""I will do what I please, anything that I want I will breathe, I will breathe, I won't worry at all You will pay for your sins, you'll be sorry my dear All the lies, all the why's, will all be crystal clear"", ""I think I've finally had enough, I think I maybe think too much I think this might be it for us (blow me one last kiss) You think I'm just too serious, I think you're full of shit My head is spinning so (blow me one last kiss)"", ""Just when it can't get worse, I've had a shit day (No!) Have you had a shit day? (No!), we've had a shit day (No!) I think that life's too short for this, I want back my ignorance and bliss I think I've had enough of this, blow me one last kiss."", ""Na na na na - da da da da Na na na na - da da da da Na na na na - da da da da"", ""Blow me one last kiss."", ""Na na na na - da da da da Na na na na - da da da da Na na na na - da da da da Blow me one last kiss."", ""Just when it can't get worse, I've had a shit day (No!) Have you had a shit day? (No!), we've had a shit day (No!) I think that life's too short for this, I want back my ignorance and bliss I think I've had enough of this, blow me one last kiss."""
87,cant help it   ,
88,centerfold   ,"""Can you turn it up, just a tiny bit? That'd be awesome."", ""I'm on the rebound I get it where I want to I'm on the way down I'm getting fixed without you You gave me a band-aid I put it on my heartbreak And all you got is pictures in your hand"", ""Don't you wish you could hold The angel in the centerfold The fantasy you couldn't control Who walked away from you Don't you wish that you could hold The pretty little paper doll The one you couldn't quite control Who walked away from you"", ""Flip to me, I'm the centerfold I'm gonna charm you All night Stick to me, I'm the centerfold We're gonna go, oh Hold tight"", ""I'm gonna hate you Tell I forget you So here's a keepsake I left it in the bathroom Just a little something Something to remind you The joy you'll never get this close again"", ""Don't you wish you could hold The angel in the centerfold The fantasy you couldn't control Who walked away from you Don't you wish that you could hold The pretty little paper doll The one you couldn't quite control Who walked away from you"", ""Flip to me, I'm the centerfold I'm gonna charm you All night Stick to me, I'm the centerfold We're gonna go, oh Hold tight"", ""Flip to me, I'm the centerfold I'm gonna charm you All night Stick to me, I'm the centerfold We're gonna go, oh Hold tight"", ""Now it's him but it could've been you Tell me why it's him when it should've been you It's crazy how this makes you wanna change Here's an image you won't forget All your life I'll tease, I'll torment I'll be gone as soon as you turn the page"", ""Don't you wish you could hold The angel in the centerfold The fantasy you couldn't control Who walked away from you Don't you wish that you could hold The pretty little paper doll The one you couldn't quite control Who walked away from you"", ""Flip to me, I'm the centerfold I'm gonna charm you All night Stick to me, I'm the centerfold We're gonna go, oh Hold tight"""
89,ms bird   ,"""Ms. Bird, Ms. Bird, Who ever knew? when someone so cool as you. you toutch'd the skye and felt my rise abouve the sun. ms.bird forever."""
90,dont let me get me   ,"""Never win first place, I don't support the team I can't take direction, and my socks are never clean Teachers dated me, my parents hated me I was always in a fight cuz I can't do nothin' right"", ""Everyday I fight a war against the mirror I can't take the person starin' back at me I'm a hazard to myself"", ""Don't let me get me I'm my own worst enemy Its bad when you annoy yourself So irritating Don't wanna be my friend no more I wanna be somebody else"", ""I wanna be somebody else, yeah"", ""LA told me, \""You'll be a pop star, All you have to change is everything you are.\"" Tired of being compared to damn Britney Spears She's so pretty, that just ain't me"", ""Doctor, doctor won't you please prescribe somethin A day in the life of someone else? Cuz I'm a hazard to myself"", ""Don't let me get me I'm my own worst enemy Its bad when you annoy yourself So irritating Don't wanna be my friend no more I wanna be somebody else"", ""Don't let me get me I'm my own worst enemy Its bad when you annoy yourself So irritating Don't wanna be my friend no more I wanna be somebody else"", ""Doctor, doctor won't you please prescribe somethin A day in the life of someone else? Don't let me get me"", ""Don't let me get me I'm my own worst enemy Its bad when you annoy yourself So irritating Don't wanna be my friend no more I wanna be somebody else"""
91,true love   ,"""Sometimes I hate every single stupid word you say Sometimes I wanna slap you in your whole face (Whoa-oh, oh) There's no one quite like you, you push all my buttons down I know life would suck without you (Whoa-oh, oh)"", ""At the same time, I wanna hug you I wanna wrap my hands around your neck You're an asshole, but I love you And you make me so mad I ask myself"", ""Why I'm still here, oh, where could I go? You're the only love I've ever known But I hate you, I really hate you So much, I think it must be"", ""True love, true love, it must be true love Nothing else can break my heart like True love, true love, it must be true love No one else can break my heart like you"", ""Just once, try to wrap your little brain around my feelings Just once, please try not to be so mean (Whoa-oh, oh) Repeat, after me now R-O-M-A-N-C-E-E-E Come on, I'll say it slowly (Romance), you can do it babe!"", ""At the same time I wanna hug you I wanna wrap my hands around your neck You're an asshole, but I love you And you make me so mad I ask myself"", ""Why I'm still here, oh, where could I go? You're the only love I've ever known But I hate you, I really hate you So much, I think it must be"", ""True love, true love, it must be true love Nothing else can break my heart like True love, true love, it must be true love No one else can break my heart like you"", ""Think it must be love (I love you) I think it must be love (I love you)"", ""Why do you rub me up the wrong way? Why do you say the things that you say? Sometimes I wonder how we ever came to be But without you I'm incomplete (Oh, I think it must be)"", ""True love, true love, it must be true love Nothing else can break my heart like True love, true love, it must be true love And no one else can break my heart like you"", ""No one else can break my heart like you Like you No one else can break my heart like you"""
92,here comes the weekend   ,"""Here comes, comes the weekend Hear it calling like a siren (OohOoh!) We don't want no problems We don't like them, keep it moving Here comes the weekend Set off your sirens (OohOoh!) Here comes the weekend Set off your sirens (OohOoh!)"", ""I just wanna play, big city, holiday So get out of my way If you know what's better for you (OohOoh!)"", ""I'm tearing up the night Lipstick and leather tight Not looking for a fight no (OohOoh!) High heels and cherry wine Not wasting any time We're ticking like a bomb About to blow (OohOoh!)"", ""Here comes, comes the weekend Hear it calling like a siren (OohOoh!) We don't look for trouble Just enough too, seeing double Here comes the weekend Set off your sirens (OohOoh!) Here comes the weekend Set off your sirens (OohOoh!)"", ""Drink some pink champagne I don't know you yet But we'll forget so Fuck what they say Let the rum flow until it rains (OohOoh!)"", ""I'm tearin up the night Lipstick and leather tight Not looking for a fight, no (OohOoh!) High heels and cherry wine Not wasting any time We're ticking like a bomb About to blow (OohOoh!)"", ""Here comes, comes the weekend Hear it calling like a siren (OohOoh!) We don't look for trouble Just enough too, seeing double Set off your sirens (OohOoh!) Here comes the weekend Set off your sirens (OohOoh!)"", ""Nothing high class in my glass Only bottles of pop My bottles are popped So when I pop up in the spot Im prob-ably not Gonna be wanting to pop Bubbly or Ciroc, I'm not Puffy"", ""But I'ma run this city tonight When I hit it, I might act Like a frickin' idiot Diddy mixed with a medieval knight"", ""Big city lights, little indignity Hot diggity, this Biggie is gettin' me hype I don't get some liquor, I'll hurt you I'll knock your dick in the dirt Bickerin' worse than that bitch In that Snicker commercial"", ""A mixture of Stifler and Urkel Hangin' from the light fixture I hope you pricks are insured For this building, 'cuz we're tearin' it down Security, get out, the frickin' way Jesus Christ the blaring is loud I swear the only thing I hear is the sound Of sirens going eeEEeeEEeh cause..."", ""(Here comes the weekend) (Set off your sirens) (Here comes the weekend) (Set off your sirens) (OohOoh!) (OohOoh!) Here comes the weekend Set off your sirens (OohOoh!) Here comes the weekend Set off your sirens (OohOoh!)"""
93,glitter in the air   ,"""Have you ever fed a lover with just your hands? Close your eyes and trust it, just trust it Have you ever thrown a fist full of glitter in the air? Have you ever looked fear in the face and said I just don't care?"", ""It's only half past the point of no return The tip of the iceberg, the sun before the burn The thunder before lightning, the breath before the phrase Have you ever felt this way?"", ""Have you ever hated yourself for staring at the phone? Your whole life waiting on the ring to prove you're not alone Have you ever been touched so gently you had to cry? Have you ever invited a stranger to come inside?"", ""It's only half past the point of oblivion The hourglass on the table, the walk before the run The breath before the kiss and the fear before the flames Have you ever felt this way?"", ""La, la, la, la, la, la, la, la There you are, sitting in the garden Clutching my coffee, calling me sugar You called me sugar"", ""Have you ever wished for an endless night? Lassoed the moon and the stars and pulled that rope tight Have you ever held your breathe and asked yourself will it ever get better than tonight? Tonight"""
94,todays the day   ,"""I've spent enough time alone"", ""Up in my bedroom at home Been kinda bored lately I hate on all I see It's all mundane to me This box I painted pains me But you could watch me You could help me down the rabbit hole with you I could go with you You could lead the way I'd go hand in hand with you"", ""Oh oh oh Today's the day I've been waiting for Tomorrow won't come after all Yesterday is so far away And today is the only day Somebody please stop the clock Oh oh oh Don't ever let this day stop Oh oh oh I never wanna go home No no no oh oh oh No no no"", ""No no no no no Oh oh oh I used to want to grow up I thought that I could be free But now I'm realizing It's cool, it ain't for me It's cool, cause all my dreams Are more than possibilities"", ""I get so vicious When I don't feel delicious I just need a friend"", ""So much to carry These days are kinda scary I don't want the fun to end Oh oh oh Today's the day I've been waiting for Tomorrow won't come after all Yesterday is so far away And today is the only day Somebody please stop the clock Oh oh oh Don't ever let this day stop Oh oh oh I never wanna go home No no no No no no"", ""No no no no no no no Oh oh oh Oh oh oh I'mma say today's my day I'mma say today's my day I'mma say today's my day I'mma say it's gonna go my way I'mma say today's my day"", ""I'mma say today's my day I'mma say today's my day I'mma say it's gonna go my way Oh oh oh Today's the day I've been waiting for"", ""Tomorrow won't come after all Yesterday is so far away And today is the only day Somebody please stop the clock Oh oh oh Don't ever let this day stop"", ""Oh oh oh I never wanna go home No no no oh oh oh I'mma say today's my day I'mma say today's my day I'mma say today's my day I'mma say it's gonna go my way I'mma say today's my day I'mma say today's my day I'mma say today's my day I'mma say it's gonna go my way"""
95,please dont leave me   ,"""Da da da da da da Da da Da da da da-da da"", ""I don't know if I can yell any louder How many times have I kicked you out of here? Or said something insulting? Da da da da-da I can be so mean when I wanna be I am capable of really anything I can cut you into pieces When my heart is... Broken."", ""Please, don't leave me Please, don't leave me I always say how I don't need you But it's always gonna come right back to this Please, don't leave me"", ""How did I become so obnoxious? What is it with you that makes me act like this? I've never been this nasty. Can't you tell that this is all just a contest? The one that wins will be the one that hits the hardest. But baby I don't mean it I mean it, I promise"", ""Please, don't leave me, oh Please, don't leave me (don't leave me) I always say how I don't need you But it's always gonna come right back to this Please, don't leave me"", ""I forgot to say out loud How beautiful you really are to me. I can't be without. You're my perfect little punching bag And I need you. I'm sorry. Da da da da, da da da da Da da da da-da"", ""Please, please, don't leave me Baby, please, don't leave me (no, don't leave me) Please, don't leave me (I always say) I always say how I don't need you But it's always gonna come right back to this Please, don't leave me (yeah) Please, don't leave me (I) I always say how I don't need you But it's always gonna come right back to this. (Please, please) please, don't leave me Baby, please, please, don't leave me"""
96,delirium previously unreleased   ,"""So she thinks she's got a new boyfriend But the two of them have never met She's already got his name tattooed In a heart across her chest With his pictures plastered on her wall But he has never called And even all her friends they say: 'You're living in delirium'"", ""Da da da, Da da da, Da da da, Da da da, Da da da Babe, you live in deliri Da da da, Da da da, Da da da, Da da da, Da da"", ""Secretly she's stalking him on the streets Making sure she's one step behind They even went to the movies together Or at least they stood in the same line She tells everyone he sends her flowers And love letters he sends her too And they talk on the phone for hours It's obvious she's come on blue"", ""Da da da, Da da da, Da da da, Da da da, Da da da Babe, you live in deliri Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium Da da da, Da da da, Da da da, Da da da, Da da da"", ""Every night you find her all alone Fantasising about the brand new home And she's waiting for the bells the ring a ding-a-ling Oh, God, she's lost her mind And her friends tell her all the time That it's make-believe This guy she sees it's her disease She's living in delirium"", ""She's so happy that she found someone But she's still living in delirium She's so happy that she found someone But she's still living in delirium"", ""Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium (She's so happy that she found someone But she's still living in delirium) Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium (She's so happy that she found someone But she's still living in delirium) Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium Da da da, Da da da, Da da da, Da da da, Da da da Babe, you're livin' in delirium"""
97,there u go   ,"""Please don't come around talkin' bout that you love me, Cause that love shit just aint for me, I don't wanna hear that you adore me And I know that all you're doing is running your mind games, Don't you know that game peeps game? So your best bet is to be straight with me"", ""So you say you wanna talk, let's talk If you won't talk I'll walk, yeah it's like that Got a new man, he's waiting out back Now what, whatcha think bout that, bout that? Now when I say I'm through, I'm through Basically I'm through with you Whatcha' wanna say? Had to have it your way, had to play games Now you're begging me to stay"", ""There u go, lookin' pitiful Just because I let you go There u go, talkin' bout you want me back Sometimes it's bez like that, so There u go, talkin' bout you miss me so, that you love me so, Why I let you go? there you go, cause your lies got old Look at you, there u go!"", ""Please don't come around talkin' bout how you changed How you said goodbye to what's her name All it sounds like to me is new game And I was right when I thought I'd be much better off without you Had to get myself from 'round you, Cause my life was all about you"", ""So you say you wanna talk, I don't Say you wanna change, I won't Yeah it's like that Had your chance, won't take it back Now what, whatcha think bout that, bout that? and When I say I'm through, I'm through Basically I'm through with you Whatcha' wanna say? Had to have it your way, had to play games Now you're begging me to stay"", ""There u go, lookin' pitiful Just because I let you go There u go, talkin' bout you want me back Sometimes it's bez like that, so There u go, talkin' bout you miss me so, that you love me so, Why I let you go? there you go, cause your lies got old Look at you, there u go!"", ""Oooh, don't you wish you could turn the hands of time? Don't you wish that you still were mine? Don't you wish I'd take you back? Don't you wish that things were simple like that? Didn't miss a good thing til' it's gone, But I knew it wouldn't be long Til' you came running back, missing my love THERE U GO!"", ""There u go, lookin' pitiful Just because I let you go There u go, talkin' bout you want me back Sometimes it's bez like that, so There u go, talkin' bout you miss me so, that you love me so, Why I let you go? there you go, cause your lies got old Look at you, there u go!"", ""There u go, lookin' pitiful Just because I let you go There u go, talkin' bout you want me back Sometimes it's bez like that, so There u go, talkin' bout you miss me so, that you love me so, Why I let you go? there you go, cause your lies got old Look at you, there u go!"", ""There u go, lookin' pitiful Just because I let you go There u go, talkin' bout you want me back Sometimes it's bez like that, so There u go, talkin' bout you miss me so, that you love me so, Why I let you go? there you go, cause your lies got old Look at you, there u go!"""
98,conversations with my 13 year old self   ,"""Conversations with my 13 year old self Conversations with my 13 year old self"", ""You're angry, I know this The world couldn't care less You're lonely, I feel this And you wish, you were the best"", ""No teachers or guidance And you always walk alone You're crying at night when Nobody else is home"", ""Come over here and let me Hold your hand and hug you, darlin' I promise you that it won't Always feel this bad"", ""There are so many things I want to say to you You're the girl, I used to be You little heartbroken 13 year old me"", ""You're laughin' but you're hidin' God, I know that trick too well You forget that I've been you And now I'm just the shell"", ""I promise, I love you And everything will work out fine Don't try to grow up yet Oh, just give it some time"", ""The pain you feel is real You're not asleep but it's a nightmare But you can wake up anytime"", ""Oh, don't lose your passion Or the fighter that's inside of you You're the girl, I used to be The pissed off complicated 13 year old me"", ""Conversations with my 13 year old self Conversations with my 13 year old self"", ""Until we meet again Oh, I wish you well Oh, I wish you well Little girl"", ""Until we meet again Oh, I wish you well Little girl I wish you well"", ""Until we meet again My little 13 year old me"""
99,get the party started sweet dreams mix   ,"""(Pink and (Redman)) (It can't be) Uh... uh it's time to get the party started Yeah, it's time to get the party started (Yeah, Killer) Yeah, Rockwilder, Redman, and Pink (It can't be)"", ""(Redman) Yo, Funk Doc walk into the club actin' rowdy I'm houndin' for the right girl to crown me Fuck a little bit up, lift ya shirt a bit up Get the gentlemen off, turn the temperature up One blink turn the world around Just one drink make ya hurl it down (* Gags *) Who that there, we up here You better like move back there if you that scared Doctor, Pink let's happen to link I'm in the tuck bleedin' to death, harassin' the freak (AHH!) I'm back in the beat, happen to be ROCK! Introducing, beat the underground make it shake upstairs Women throw that shit till they make-up smears Hit it, in my cup let's fire it up Are you high or what"", ""(Pink) Get the party started on a Saturday night Everybody's waitin' for me to arrive Sendin' out the message to all of my friends We'll be lookin' flashy in my Mercedes Benz I got lots of style, got my gold diamond rings I can go for miles if you know what I mean, oh"", ""(Chorus: Pink w/ Redman ad-libs) I'm comin' up So you better you better get this party started I'm comin' up So you better you better get this party started"", ""(Pink) Pumpin' up the volume, breakin' down to the beat Cruisin' through the Westside We'll be checkin' the scene Boulevard is freakin' as I'm comin' up fast I'll be burnin' rubber, you'll be kissin' my ass Pull up to the bumper, get out of the car License plate says \""Stunner #1 Superstar\"""", ""(Chorus: Pink w/ Redman ad-libs)"", ""(Pink) Sweet dreams are made of these Who am I to disagree Traveled the world and the Seven Seas Everybody get the party started Sweet dreams are made of these Who am I to disagree Traveled the world and the Seven Seas Everybody...(Yeah, everybody lookin' lookin' lookin')"", ""(Redman) Yo, yo, yo everybody move, everybody jump Everybody stomp the floor, get it crunk Everybody move, everybody jump Everybody stomp the floor It's Rockwilder, rock the house Yo Pink diggy, rock the house Yo Funk Doc, rock the house Yo scream at cha' boy real loud girl"", ""(Pink and (Redman) to fade) Get the party started ooh Get this party started, right now Get this party started I'm comin' up (Yeah) I'm comin' up (Ladies and gentlemen) (Another Rockwilder production) I'm comin' up (Ha, ha, ha) I'm comin' up, I'm comin' up I'm comin' up, gonna get the party started (Lookin' lookin' lookin' lookin') Some of them want to use you Some of them want to be abused We just want to..."""
100, just give me a reason   ,"""Right from the start you were a thief, you stole my heart And I your willing victim I let you see the parts of me that weren't all that pretty And with every touch you fixed them"", ""Now you've been talking in your sleep, oh-oh Things you never say to me, oh-oh Tell me that you've had enough of our love, our love"", ""Just give me a reason, just a little bit's enough Just a second, we're not broken just bent, and we can learn to love again It's in the stars, it's been written in the scars on our hearts We're not broken, just bent, and we can learn to love again"", ""I'm sorry I don't understand where all of this is coming from I thought that we were fine (Oh, we had everything) Your head is running wild again, my dear, we still have everythin' And it's all in your mind (Yeah, but this is happenin')"", ""You've been havin' real bad dreams, oh-oh Used to lie so close to me, oh-oh There's nothing more than empty sheets between our love, our love Oh, our love, our love"", ""Just give me a reason, just a little bit's enough Just a second, we're not broken just bent, and we can learn to love again I never stop, you're still written in the scars on my heart You're not broken, just bent, and we can learn to love again"", ""Oh, tear ducts and rust, I'll fix it for us We're collecting dust, but our love's enough You're holding it in, you're pouring a drink No, nothing is as bad as it seems, we'll come clean"", ""Just give me a reason, just a little bit's enough Just a second, we're not broken just bent, and we can learn to love again It's in the stars, it's been written in the scars on our hearts That we're not broken, just bent, and we can learn to love again"", ""Just give me a reason, just a little bit's enough Just a second, we're not broken just bent, and we can learn to love again It's in the stars, it's been written in the scars on our hearts That we're not broken, just bent, and we can learn to love again"", ""Oh, can learn to love again Oh, can learn to love again, oh-oh That we're not broken, just bent, so we can learn to love again"""
101,disconnected   ,"""(You have two messages) (First message)"", ""Turn up the thermostat It's only 50 damn degrees Everybody is so warm and I'm so cold Saying can you believe that? She's got 17 tattoos And she sings about the blues and she's suburban"", ""Everybody is so obsessed *W.I.T.H. everybody else I didn't know that so and so broke up I was busy paying bills I don't always think I'm right, but I know I'm wrong"", ""I'm trying so hard to get through I'm trying so hard to hear you There's so much static in the line, That I can barely hear the truth Is it any wonder I'm the fool? Is it a surprise to be uncool? It's no wonder, I'm so disconnected"", ""(Second message)"", ""So tell me why you gotta laugh? I guess I must have missed the joke The over-caffeinated bull**** has good me tired I guess you know just where it's at You gotta have the *L.A.S.T. things To keep your friends impressed another minute longer"", ""I can only imagine how uncomfortable it is inside that skin Having to stretch and mold to society And trouble fitting it Do you always think you're right but you know you're wrong?"", ""I'm trying so hard to get through I'm trying so hard to hear you There's so much static in the line, That I can barely hear the truth Is it any wonder I'm the fool? Is it a surprise to be uncool? It's no wonder, I'm so disconnected"", ""(The person you are trying to reach, Alecia Moore, has been temporarily disconnected) (Please hang up and try again later) (Unblock yourself if you wish to be connected)"", ""I'm trying so hard to get through I'm trying so hard to hear you There's so much static in the line, That I can barely hear the truth Is it any wonder I'm the fool? Is it a surprise to be uncool? It's no wonder, It's no wonder, It's no wonder"", ""I'm trying so hard to get through I'm trying so hard to hear you There's so much static in the line, That I can barely hear the truth Is it any wonder I'm the fool? Is it a surprise to be uncool? It's no wonder, I'm so disconnected (It's no wonder, It's no wonder)"", ""(It's no wonder, It's no wonder)"""
