,Song_name,metallica
109,bad seed   ,"""Yeah, yeah Yeah, yeah Oh Bad"", ""Yeah Yeah, yeah"", ""Come clean Fix up Tell all Spill guts"", ""Off the veil Stand revealed Show the card Bring it on Break the seal"", ""Ladies and gentlemen Step right up and see the man who taught the truth"", ""Swing the noose again Pierce the apple skin You bit more than you need Now you're choking on the bad seed On the bad seed Ah, choking"", ""Yeah Let it on Load up Confess Care so"", ""At the mercy Cat is out Drop through the sky Spit it up Spit it out"", ""And now what you've all been waiting for I give you he who suffers the truth"", ""Swing the noose again Pierce the apple skin Yeah, you bit more than you need Now you're choking on the bad seed Choking on the bad seed Yeah"", ""Off the veil Stand revealed Bring it on Break the seal At the mercy Cat is out Spit it up Spit it out Spit it up Spit it out Spit it out now"", ""At the mercy"", ""Swing the noose again Pierce the apple skin You bit more than you need Choking on the seed"", ""Swing the noose again Pierce the apple skin Yeah, you bit more than you need Now you're choking on the Choking, choking, choking on the bad seed Yeah"", ""Off the veil Stand revealed Bring it on Break the seal At the mercy Cat is out Spit it up Spit it out Spit it out Spit it out Spit it out now Yeah"", ""Choking on the bad, bad, bad, bad, bad, bad seed"""
110,fixxxer   ,"""Yeah Dolls of voodoo all stuck with pins One for each of us and our sins So you lay us in a line Push your pins They make us humble Only you can tell in time"", ""If we fall or merely stumble But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again? Tell me, can you heal what father's done? Or cut this rope and let us run? Just when all seems fine and I'm pain free"", ""You jab another pin"", ""Jab another pin in me Yeah Mirror, mirror upon thy wall Break this spell or become the doll See you sharpening the pins"", ""So the holes will remind us We're just the toys in the hands of another"", ""And in time the needles turn from shine to rust But tell me Can you heal what father's done? Or fix this hole in a mother's son? Can you heal the broken worlds within? Can you strip away so we may start again? Tell me, can you heal what father's done? Or cut this rope and let us run?"", ""Just when all seems fine and I'm pain free You jab another pin Jab another pin in me"", ""Jab it... Here come the pins... (Kirk slide solo) Blood for face Sweat for dirt Three X's for the stone To break this curse A ritual's due I believe I'm not alone Shell of shotgun Pint of gin Numb us up to shield the pins Renew our faith"", ""Which way we can To fall in love with life again To fall in love with life again To fall in love with life again"", ""To fall in love To fall in love To fall in love with life again So tell me Can you heal what father's done? Or fix this hole in a mother's son?"", ""Can you heal the broken worlds within? Can you strip away so we may start again? Yeah, tell me, can you heal what father's done? Or cut this rope and let us run? Just when all seems fine and I'm pain free You jab another pin Jab another pin in me, yeah! No more pins in me, yeah! No more, no more pins in me No more, no more pins in me No more, no more, no more No, no, no..."""
111,justice medley   ,"""Opposition... Contradiction... Premonition... Compromise Agitation... Violation... Masturbation... On our face Darkest Color Blistered Earth True Death of Life"", ""Never Hunger Never Prosper I Have Fallen Prey to Failure Struggle Within Triggered Again Now the Candle Burns at Both Ends"", ""Halls of Justice Painted Green Money Talking Power Wolves Beset Your Door Hear Them Stalking Soon You'll Please Their Appetite They Devour Hammer of Justice Crushes You Overpower"", ""The Ultimate in Vanity Exploiting Their Supremacy I Can't Believe the Things You Say I Can't Believe I Can't Believe the Price You Pay Nothing Can Save You Justice Is Lost Justice Is Raped Justice Is Gone Pulling Your Strings Justice Is Done Seeking No Truth Winning Is All Find it So Grim So True So Real"", ""Apathy Their Stepping Stone So Unfeeling Hidden Deep Animosity So Deceiving Through Your Eyes Their Light Burns Hoping to Find Inquisition Sinking You With Prying Minds"", ""The Ultimate in Vanity Exploiting Their Supremacy I Can't Believe the Things You Say I Can't Believe I Can't Believe the Price You Pay Nothing Can Save You Justice Is Lost Justice Is Raped Justice Is Gone Pulling Your Strings Justice Is Done Seeking No Truth Winning Is All Find it So Grim So True So Real"", ""Blackened Is the End Winter it Will Send Throwing All You See Into Obscurity"", ""Death of Mother Earth Never a Rebirth Evolution's End Never Will it Mend"", ""Never"", ""Fire To Begin Whipping Dance of the Dead Blackened Is the End To Begin Whipping Dance of the Dead Color Our World Blackened Fire Is the Outcome of Hypocrisy Darkest Potency In the Exit of Humanity Color Our World Blackened Blackened"""
112,slither   ,"""Don't go looking for snakes You might find them Don't send your eyes to the sun You might blind them Haven't I seen you here before?"", ""Oh Watch the puppets dancing Yeah See the clowns fall down Hey Tie your tap shoes tightly Yeah Wear them into town"", ""See you crawling See you crawling"", ""Don't go looking for snakes You might find them Don't send your eyes to the sun You might blind them Haven't I seen you here before? There ain't no heroes here No No, no more"", ""Hey, hey, hey Oh Play the game so nicely Oh Check, it's your move now Yeah We're standing in this jungle Yeah With some things I have found"", ""See you crawling See you crawling"", ""Don't go looking for snakes You might find them Don't send your eyes to the sun You might blind them Haven't I seen you here before? Have your heroes disappeared?"", ""See you crawling See you crawling"", ""So don't go looking for snakes You might find them Don't send your eyes to the sun You might blind them Haven't I seen you here before? No, there ain't no heroes here No, no"", ""Haven't I seen you here before? No, there ain't no heroes here"", ""Don't go looking for snakes You might find them Yeah, haven't I seen you here before? Have your heroes disappeared?"", ""Don't send your eyes to the sun You might blind them"""
113,wasting my hate   ,"""Good day, how do? And I send a smile to you Don't waste, waste your breath And I won't waste my hate on you"", ""Ain't gonna waste my hate Ain't gonna waste my hate on you I think I'll keep it for myself"", ""Ain't gonna give no more Ain't got the time to help you score I think it's time you pleased yourself Yourself"", ""Good day, how do? And I send a smile to you Don't waste, don't waste your breath And I won't waste my hate on you"", ""Waste my hate on you"", ""Think you're worthy now You think enough to even raise the brow And to laugh and tip that two pronged crown"", ""Well, I see my hands, I see my feet I feel that blood that pumps in me Where the hell's my mind goin' now? goin' now?"", ""Good day, how do? And I send a smile to you Don't waste, waste your breath And I won't waste my hate on you"", ""Waste my hate on you Think I'll keep it for myself"", ""Ain't gonna waste my hate But I'm so greedy when they say Better to give than to receive"", ""Ain't gonna waste my hate, no, no Ain't got time to waste my hate on you I think I'll keep it all for myself For myself Good day, how do? And I send a smile to you Don't waste, don't waste your breath And I won't waste my hate on you Waste my hate on you Think I'll keep it for myself Yeah, hate"""
114,bleeding me   ,"""I'm diggin' my way..."", ""I'm diggin' my way to somethin'... I'm diggin' my way to somethin' better... I'm pushin' to stay..."", ""I'm pushin' to stay with somethin'... I'm pushin' to stay with somethin' better... Whoa ho, oh Whoa ho, oh I'm sowing the seeds... I'm sowing the seeds I've taken..."", ""I'm sowing the seeds I take for granted... This thorn in my side... This thorn in my side is from the tree... This thorn in my side is from the tree I've planted Ooh, it tears me and I bleed, yeah!"", ""And I bleed, oh yeah, yeah! Yeah! Caught under wheels roll I take the leech I'm bleeding me"", ""Can't stop to save my soul I take the leash that's leading me I'm bleeding me, whoa! Ooh, I can't take it"", ""Caught under wheels roll Oh, the bleeding of me Of me The bleeding of me... Caught under wheels roll I take the leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me"", ""I'm bleeding me, whoa! Ooh, I can't take it Caught under wheels roll Oh, the bleeding of me Oh, the bleeding of me... Yeah!"", ""I am the priest that feeds the beast I am the blood I am release Come make me pure Bleed me a cure I'm caught, I'm caught, I'm caught under Caught under wheels roll I take that leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me Oh, I can't take it I can't take it I can't take it Oh, the bleeding of me Ooh, come on, baby! (Solo) Mmmm, yeah... I'm diggin' my way... I'm diggin' my way to somethin'... I'm diggin' my way to somethin' better... I'm pushin' to stay... I'm pushin' to stay with somethin'... I'm pushin' to stay with somethin' better... With somethin' better..."""
115,for whom the bell tolls   ,"""Make his fight on the hill in the early day Constant chill deep inside Shouting gun, on they run through the endless grey On they fight, for the right, yes, but who's to say? For a hill, men would kill, why? They do not know Stiffened wounds test their pride Men on five, still alive through the raging glow Gone insane from the pain that they surely know"", ""For whom the bell tolls Time marches on"", ""For whom the bell tolls"", ""Take a look to the sky just before you die It is the last time you will Blackened roar massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry Stranger now, are his eyes, to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see, what will be, blinded eyes to see For whom the bell tolls Time marches on For whom the bell tolls"""
116,ronnie   ,"""Story starts Quiet town Small town boy Big time frown"", ""Never talks Never plays Different path Lost his way"", ""The streets are red Red I'm afraid"", ""There's no confetti No parade Nothing happens in this boring place But oh my god how it all did change"", ""Now they all pray Blood stain wash away He said Lost my way This bloody day Lost my way I heard him"", ""He said Lost my way This bloody day Lost my way"", ""All things wash away But blood stained the sun red today I always said Something wrong With little strange Ronnie Long"", ""Never laughed Never smiled Talked alone for miles and miles and miles Gallow calls Son I say Keep your smile and laugh all day Think once again in this boring place For little boys how they soon change Now they all pray Blood stain wash away He said"", ""Lost my way This bloody day Lost my way I heard him"", ""He said Lost my way This bloody day Lost my way"", ""All things wash away But blood stained the sun red today (Spoken) Yeah, well all the green things died When Ronnie moved to this place He said"", ""Don't you dare ask Why I'm cursed to wear this face"", ""Now we all know why The children called him Ronnie Frown When he pulled that gun from his pocket"", ""They all fall down, down, down He said Lost my way This bloody day Lost my way I heard him He screamed Lost my way This bloody day Lost my way All things wash away But blood stained the sun red today That's right All things wash away They all fall down But blood stained the sun today All things wash away And they all fall down But blood stained the sun today"""
117,frantic   ,"""If I could have my wasted days back Would I use them to get back on track? Stop to warm at karma's burning Or look ahead but keep on turning"", ""Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?"", ""Could I have my wasted days back? Would I use them to get back on track?"", ""You live it or lie it You live it or lie it You live it or lie it You live it or lie it"", ""My lifestyle determines my death style My lifestyle determines my death style"", ""Keep searchin' Keep on searchin' This search goes on This search goes on"", ""Keep searchin' Keep on searchin' This search goes on This search goes on"", ""Frantic tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock"", ""I've worn out always being afraid An endless stream of fear that I've made Treading water full of worry This frantic tick tick talk of hurry"", ""Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?"", ""Worn out always being afraid An endless stream of fear that I've made"", ""You live it or lie it You live it or lie it You live it or lie it You live it or lie it"", ""My lifestyle determines my death style My lifestyle determines my death style"", ""Keep searchin' Keep on searchin' This search goes on This search goes on"", ""Keep searchin' Yeah, keep on searchin' This search goes on On and on"", ""Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock"", ""Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know?"", ""Do I have the strength To know how I'll go? Can I find it inside To deal with what I shouldn't know? Oh, my lifestyle determines my death style A rising tide that pushes to the other side My lifestyle determines my death style A rising tide that pushes to the other side Keep searchin' Keep on searchin' This search goes on On and on Keep searchin' Keep on searchin' This search goes on On and on Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock Frantic tick tick tick tick tick tock"""
118,crying of the dead   ,"""i hear these sounds in the day light.never heard them before in my life.i bureid the grave of the dead way back home.i fear is it the grave that's calling me.is it the crying of the dead.please get the dead to peace.i cant stand this anymore.stop the crying of the dead. the dead...the dead is comin out.the dead ....the dead is eateing me alive.save me master ....save me master...please....please! from the dead...from the dead... the dead's eaten me alive.i'm ready to go to the grave.but the grave is not accepting me.neither can i go back home.the world seems so dead/the sins that i commited will never wash away.i'm ready to die with this pain i feel.but my grave has rejected me.the master's coming to save me i can't bear the crying of the dead... but its ringing on my door...so i'm ready to die.. and cry like the dead."""
119,purify   ,"""Tear it down Strip the layers off My turpentine Old paint, old looks Cover up the past White heat, white light Super white bones Bones of you and I"", ""Purify, can't you help me? Purify, won't you help me? Purify, you and I Purify, you and I Purify, can't you help me? Purify, won't you help me? You and I purify You and I purify Purify"", ""Truth and dare Peeling back the skin Acid wash, ghost white Ultra clean Wanna be skeleton Clear eyes, diamond eyes Strip the past of mine My sweet turpentine"", ""Purify, can't you help me? Purify, oh, won't you help me? Purify, you and I Purify, you and I Purify, can't you help me? Purify, oh, won't you help me? You and I, purify You and I, purify Purify"", ""I can find the dirt on anything I can find the dirt on anything I ain't dancing with your skeletons I, I ain't dancing with what might have been, no"", ""Purify, can't you help me? Purify, oh, won't you help me? Purify, you and I Purify, you and I Purify, can't you help me? Purify, why won't you help me? You and I, purify You and I, purify C'mon, purify"""
120,shoot me again   ,"""I won't go away Right, right here I stay Stand silent in flames Stand tall 'till it fades"", ""Shoot me again, I aint dead yet Come on, shoot me again, I aint dead yet I said shoot me again, I ain't dead yet Come on, shoot me again, I aint dead yet Come on, shoot me again, shoot me again, shoot me Shoot me again, shoot me again, come on Shoot me again, shoot me again, shoot me Shoot me again, shoot me again, come on"", ""All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots, all the shots All the shots I take What difference did I make? All the shots I take I spit back at you"", ""I won't go away, with a bullet in my back Right here I stay, with a bullet in my back"", ""Shoot me (Take a shot) Shoot me (Take a shot) Shoot me (Take a shot) Shoot me (Take a shot)"", ""I stand on my own, with a bullet in my back I'm stranded and sold, with a bullet in my back"", ""Shoot me again, I aint dead yet Come on, shoot me again, I aint dead yet Yeah, shoot me again, I ain't dead yet Come on, shoot me again, I aint dead yet I said, shoot me again, shoot me again, come on Shoot me again, shoot me again, come on Shoot me again, shoot me again, shoot me Shoot me again, shoot me again"", ""All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots, all the shots All the shots I take What difference did I make? All the shots I take I spit back at you"", ""I bite my tongue, tryin not to shoot back No compromise, my heart won't pump the other way"", ""Wake the sleeping giant, wake the beast Wake the sleeping dog, no, let him sleep Wake the sleeping giant, wake the beast Wake the sleeping dog, no, let him sleep"", ""I bite my tongue, tryin not to shoot back All the shots I take I spit back at you All the shit you fake Comes back to haunt you All the shots, all the shots All the shots I take What difference did I make? All the shots I take I spit back at you"""
123,seek destroy   ,"""All right!"", ""We are scanning the scene in the city tonight We are looking for you to start up a fight There is an evil feeling in our brains But there's nothing new, you know it drives us insane"", ""Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths"", ""Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy"", ""There is no escape and that is for sure This is the end we won't take any more Say goodbye to the world you live in You have always been taking but now you're giving"", ""Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths"", ""Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy"", ""Solo"", ""Our brains are on fire with the feeling to kill And it will not go away until our dreams are fulfilled There is only one thing on our minds Don't try running away 'cause you're the one we will find"", ""Running On our way Hiding You will pay Dying One thousand deaths Running On our way Hiding You will pay Dying One thousand deaths"", ""Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy Searching Seek and Destroy, aha ha ha"""
124,eye of the beholder   ,"""Do you see what I see? Truth is an offense You silence for your confidence Do you hear what I hear? Doors are slamming shut Limit your imagination Keep you where they must Do you feel what I feel? Bittering distress Who decides what you express? Do you take what I take? Endurance is the word"", ""Moving back instead of forward Seems to me absurd Doesn't matter what you see Or into it what you read"", ""You can do it your own way If it's done just how I say Independence limited Freedom of choice is made for you, my friend"", ""Freedom of speech is words that they will bend Freedom with their exception Do you fear what I fear? Living properly Truths to you are lies to me Do you choose what I choose? More alternatives Energy derives from both the plus and negative Do you need what I need? Boundaries overthrown Look inside To each his own"", ""Do you trust what I trust? Me, myself and I Penetrate the smoke screen I see through the selfish lie"", ""Doesn't matter what you see Or into it what you read You can do it your own way If it's done just how I say"", ""Independence limited Freedom of choice is made for you, my friend Freedom of speech is words that they will bend Freedom with their exception (Bridge and solo) Do you know what I know?"", ""Your money and your wealth You silence just to hear yourself Do you want what I want? Desire not a thing"", ""I hunger after independence Lengthen freedom's ring Doesn't matter what you see Or into it what you read"", ""You can do it your own way If it's done just how I say Independence limited Freedom of choice is made for you, my friend Freedom of speech is words that they will bend Freedom no longer frees you Doesn't matter what you see Or into it what you read You can do it your own way If it's done just how I say"""
125,for whom the bell tolls remastered   ,"""Make his fight on the hills in the early day Constant chill deep inside Shouting gun on they run through the endless gray"", ""On they fight for their right, yes, but who's to say?"", ""For a hill, men would kill, why? They do not know? wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain and they surely know"", ""For whom the bell tolls Time marches on For whom the bell tolls"", ""Take a look to the sky just before you die It is the last time he will Blackened roar, massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry"", ""Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be blinded eyes to see"", ""For whom the bell tolls Time marches on For whom the bell tolls"""
126,the end of the line   ,"""Need... more and more Tainted misery Bleed... battle scars Chemical affinity Reign... legacy Innocence corrode Stain... rot away Catatonic overload."", ""Choke... asphyxia Snuff reality Scorch... kill the light Incinerate celebrity Reaper... butchery Karma amputee Bloodline... redefined Death contagious deity"", ""Hooked into this deceiver Need more and more Into the endless fever Need more and more"", ""New consequence machine You burn through all your gasoline Asylum overtime Nevermind You've reached the end of the line"", ""Time... choke the clock Steal another day Die... faithfully Narcissistic fade away Twisted... jump the rail Shatter the crowd below Breaker... chase the ghost The latest high to alltime low"", ""Need into this deceiver Need more and more Into the endless fever Need more and more"", ""New consequence machine You burn through all your gasoline Asylum overtime Nevermind You've reached the end of the line"", ""Drop the hourglass of time Spilling sand we will not find As we gather here today We bid farewell The slave becomes the master The slave becomes the master The slave becomes the master Yeah"", ""The slave becomes the master Need more and more Right now and everafter Need more and more"", ""New consequence machine Burned through all your gasoline Asylum overtime Nevermind Dead hourglass of time Sand we will not ever find We gather here today Say goodbye Cause you've reached the end of the line The end of the line The end of the line The end of the line You've reached the end of the line"""
127,atlas rise   ,"""Bitterness and burden Curses rest on thee Solitaire and sorrow All eternity Save the Earth and claim perfection Deem the mass and blame rejection Hold the pose, fein perception Grudges break your back"", ""All you bear All you carry All you bear Place it right on Right on me"", ""Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, rise! How does it feel on your own? Bound by the world all alone Crushed under heavy skies Atlas, rise"", ""Crucify and witness Circling the sun Bastardized in ruin What have you become? Blame the world and blame your maker Wish 'em to the undertaker Crown yourself the other savior So you carry on"", ""All you bear All you carry All you bear Place it right on Right on me"", ""Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, rise! How does it feel on your own? Bound by the world all alone Crushed under heavy skies Crushed under heavy skies Atlas, rise!"", ""Masquerade as maker Heavy is the crown Beaten down and broken Drama wears you down Overload, the martyr stumbles Hit the ground and heaven crumbles All alone the fear shall humble Swallow all your pride"", ""All you bear All you carry All you bear Place it right on Right on me"", ""Die as you suffer in vain Own all the grief and the pain Die as you hold up the skies Atlas, rise How does it feel on your own? Bound by the world all alone Crushed under heavy skies Crushed under heavy skies Atlas, rise"""
130,breadfan originally recorded by budgie   ,"""Breadfan Open up your mind Open up your purse Open up your bones Never, never gonna lose it"", ""Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Loser Give it all away Never stay with the winner With the man With all the filthy money"", ""Come on Keep it on the side With a ride On a record on the top If you're gonna be a bad boy"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Breadfan Open up your mind Open up your purse Open up your bones Never, never gonna lose it"", ""Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Mommy, where's Fluffy?"""
131,for whom the bell tools   ,"""Make his fight on the hills in the early day Constant chill deep inside Shouting gun on they run through the endless gray On they fight for their right, yes, but who's to say?"", ""For a hill, men would kill, why? They do not know? wounds test their pride Men of five, still alive through the raging glow Gone insane from the pain and they surely know"", ""For whom the bell tolls Time marches on For whom the bell tolls"", ""Take a look to the sky just before you die It is the last time he will Blackened roar, massive roar fills the crumbling sky Shattered goal fills his soul with a ruthless cry"", ""Stranger now are his eyes to this mystery He hears the silence so loud Crack of dawn, all is gone except the will to be Now they see what will be blinded eyes to see"", ""For whom the bell tolls Time marches on For whom the bell tolls"""
132,free speech for the dumb   ,
133,better than you   ,"""I look at you then you me Hungry and thirsty are we Holding the lion's share, holding the key Holding me back 'cause I'm striving to be"", ""(Better than you) (Better than you)"", ""Lock horns I push and I strive Somehow I feel more alive Bury the need for it, bury the seed Bury me deep where there's no will to be"", ""(Better than you) (Better than you)"", ""Oh, can't stop this train from rolling Oh, no, nothing brings me down No, I can't stop this train from rolling on and on, on No, no, forever holding on"", ""Oh, can't stop this train from rolling Oh, yo, you can't take it down No, never stop this locomotion, on and on and on and on No, you can't bring it down"", ""'Cause I'm better than you (Better than you) (Better than you)"", ""Oh, better than you (Better than you) (Better than you) Much better than you"", ""(Better than you) Oh, better than you (Better than you)"", ""(Better than you) Better than, better than Better than, better than you, yeah"", ""Can't stop this train from rolling Forever on and on and on and on and on Forever on and on and on"", ""Better than you, yeah"""
134,dyers eve   ,"""Dear Mother Dear Father What is this hell you have put me through Believer Deceiver Day in day out live my life through you Pushed onto me what's wrong or right Hidden from this thing that they call life"", ""Dear Mother Dear Father Every thought I'd think you'd disapprove Curator Dictator Always censoring my every move Children are seen but are not heard Tear out everything inspired"", ""Innocence Torn from me without your shelter Barred reality I'm living blindly"", ""Dear Mother Dear Father Time has frozen still what's left to be Hear nothing Say nothing Cannot face the fact I think for me No guarantee, it's life as is But damn you for not giving me my chance"", ""Dear Mother Dear Father You've clipped my wings before I learned to fly Unspoiled Unspoken I've outgrown that fucking lullaby Same thing I've always heard from you Do as I say not as I do"", ""Innocence Torn from me without your shelter Barred reality I'm living blindly I'm in hell without you Cannot cope without you two Shocked at the world that I see Innocent victim please rescue me"", ""Dear Mother Dear Father Hidden in your world you've made for me I'm seething I'm bleeding Ripping wounds in me that never heal Undying spite I feel for you Living out this hell you always knew"""
135,the four horseman   ,"""By the last breath the fourth winds blow Better raise your ears The sound of hooves knock at your door Lock up your wife and children now It's time to wield the blade For now you've got some company"", ""The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With The Four Horsemen ride Or choose your fate and die"", ""OH, YEAH YEAH! You have been dying since the day you were born You know it's all been planned The quartet of deliverance rides A sinner once, a sinner twice No need for confessions now"", ""'Cause now you've got the fight of your life The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With The Four Horsemen ride"", ""Or choose your fate and die OH, YEAH YEAH! Time has taken its toll on you The lines that crack your face Famine your body it has torn through Withered in every place Pestilence for what you had to endure And what you have put others through Death"", ""deliverance for you for sure Now there's nothing you can do So gather 'round young warriors now And saddle up your steeds Killing scores with demon swords Now is the death of doers of wrong"", ""Swing the judgement hammer down Safely inside armor blood guts and sweat The Horsemen are drawing nearer On leather steeds they ride They've come to take your life On through the dead of night With The Four Horsemen ride Or choose your fate and die OH, YEAH YEAH!"""
136,dream no more   ,"""He sleeps under black seas waiting Lies dreaming in death He sleeps under cosmos shaking Stars granting his breath"", ""He wakes as the world dies screaming All horrors arrive He wakes giving earth its bleeding Pure madness alive"", ""And He haunts you And He blinds your soul And He loathes you And reclaims it all"", ""You turn to stone Can't look away You turn to stone Madness, they say"", ""Cthulhu awaken"", ""He sways in abyss returning Inhaling black skies He shakes with a torture burning All lost in his eyes"", ""And He haunts you And He blinds your soul And He loathes you And reclaims it all"", ""You turn to stone Can't look away You turn to stone Madness, they say"", ""Cthulhu awaken"", ""You turn to stone Can't look away You turn to stone Madness, they say"", ""Sanity taken Seething damnation Cthulhu awaken (Wake) Winged Salvation Death by creation Cthulhu, awaken (Wake) Dreaming no more"", ""Cthulhu, awaken (Wake) Dreaming no more Cthulhu, awaken (Wake) Dreaming no more"""
137,astronomy   ,"""The clock strikes twelve and moondrops burst Out at you from their hiding place? Like acid and oil on a madman's face His reasons tend to fly away"", ""Like lesser birds on the four winds, yeah Like silver scrapes in May Now the sands become a crust And most of you have gone away... Yea, gone away"", ""Ah, come Susie dear, let's take a walk Just out there upon the beach I know you'll soon be married And you'll want to know where winds come from"", ""Well, it's never said at all On the map that Carrie reads Behind the clock back there you know At the four winds bar, mm, yeah"", ""Yeah Hey! Hey! Hey! Hey! Four winds at the four winds bar Two doors locked, ten windows barred One door left to take you in The other one just mirrors it Hey! Hey! Yeah! Hey! Yeah! Hey!"", ""Ooh, in hellish glare and inference The other one's a duplicate The queenly flux, eternal light Or the light that never warms Yes, the light that never, never warms Yes, the light that never, never warms Never warms, never warms"", ""The clock strikes twelve and moondrops burst Out at you from their hiding place? Miss Carrie nurse and Susie dear Would find themselves at four winds bar"", ""It's the nexus of the crisis And the origin of storms Just the place to hopelessly Encounter time and then came me"", ""Hey! Hey! Hey! Hey!"", ""Call me Desdenova, eternal light These gravely digs of mine Will surely prove a sight And don't forget my dog, fixed and consequent"", ""Astronomy - a star Astronomy - a star Astronomy (astronomy) - a star, yeah Astronomy - a star"", ""Astronomy"""
138,to live is to die   ,"""When a man lies he murders some part of the world"", ""These are the pale deaths which men miscall their lives"", ""All this i cannot bear to witness any longer Cannot the kingdom of salvation take me home"""
139,lords of summer   ,"""Sight Pale riders into the night Galloping harder and faster"", ""Through your dreaming wake Walk through the fire innate Frost bitten soul below zero"", ""Excitation Are you remembering the sound Recall the shaking of the ground"", ""Calling, calling All as one Lords of summer bring the sun"", ""Coming, coming Winter's yearn Lords of summer shall return"", ""At last the thawing has begun Come trade your darkness for the sun Melting the chill of winter's turn For soon the lords of summer shall return"", ""Lords of summer shall return"", ""Straight Life passes through penetrate It's been a long lonely winter"", ""Illumination Bright Fading the volume and light Reanimated by fire"", ""Transformation Become the nexus of the sound Become the shaking of the ground"", ""Calling, calling All as one Lords of summer bring the sun"", ""Coming, coming Winter's yearn Lords of summer have returned"", ""At last the thawing has begun Come trade your darkness for the sun Melting the chill of winter's turn Now that the lords of summer have returned"", ""Lords of summer have returned"""
140,poor twisted me   ,"""Oh poor twisted me Oh poor twisted me I feast on sympathy I chew on suffer I chew on agony"", ""And swallow whole the pain Oh it's too good to be All this misery Is just for oh poor twisted me Poor twisted me"", ""Ooh yeah Poor twisted me"", ""Poor mistreated me Poor mistreated me I drown without a sea I'm filled with sorrow Once filled with misery"", ""And hated the deep dark blue Oh woe is me Such a burden to bear Poor mistreated me, yeah"", ""Finally reached the shore I survived the storm Now your feeling cold ever since he was born Your pain is so over you"", ""Finally reached the shore I survived the storm Now your feeling cold ever since he was born No more"", ""Your pain is so over you Could ya be my friend? Such a burden to see Oh poor twisted me"", ""You, you, poor twisted me"""
141,my apocalypse   ,"""Claustrophobic Crawl out of this skin Heart explosive Reach in pull that pin Fear thy name: Extermination Desecrate inhale the fire"", ""So we cross that line Into the Crypt Total eclipse Suffer unto my apocalypse"", ""Deadly vision Prophecy reveal Death magnetic Pulling closer still Fear thy name: Annihilation Desolate inhale the fire"", ""So we cross that line Into the Crypt Total eclipse Suffer unto my apocalypse"", ""My Apocalypse"", ""Crushing metal, ripping skin Tossing body, mannequin Spilling blood, bleeding gas"", ""Mangled flesh, snapping spines Dripping bloody valentine shatter face, spitting glass"", ""Split apart Split apart Split apart Spit Spit it out"", ""What makes me drift a little bit closer Dead man takes the steering wheel What makes me know it's time to cross over Want to repeat until i feel"", ""See through the skin the bones they all rattle Future and past they disagree Flesh falls away the bones they all shatter I start to see the end in me See the end in me"", ""Claustrophobic crawl out of this skin Heart explosive Reach in pull that pin"", ""Violate annihilate My Wounds unto my eyes Obliterate exterminate And life itself denied Fear thy name as hell awakens Destiny inhale the fire So we've crossed that line Into the Crypt Total eclipse Suffer unto my apocalypse Tyrant awaken my apocalypse Demon awaken my apocalypse Heaven awaken my apocalypse Suffer forever my apocalypse"""
