,Song_name,eric-clapton
191,kindhearted woman blues   ,"""by Robert Johnson"", ""I've got a kind hearted woman, she studies evil all the time. I've got a kind hearted woman, she studies evil all the time. You would do to quit me just to have it on your mind."", ""I've got a kind hearted woman, do anything in this world for me. I've got a kind hearted woman, do anything in this world for me. But these evil hearted women, Lord, and they will not let me be."", ""Now it ain't but one thing makes Mr. Clapton drink. I swear about how you treat me baby, I begin to think. Oh baby, my life don't feel the same. It breaks my heart when you call Mr. So-and-So's name."", ""She's a kind hearted woman, she studies evil all the time. She's a kind hearted woman, she studies evil all the time. You're best to quit me baby as just to have it on your mind."""
192,johnny   ,
193,chase   ,
194,judgement day   ,"""What you gonna do on judgement day The time's run out now, you can't stay Screaming and crying, you got to go Turn and say, \""Peter won't you open the door?\"""", ""Yes, I'm coming (Yes, I'm coming) Yes, I'm coming (Yes, I'm coming) Yes, I'm coming Just like my time alone"", ""When I die you can't bury me [Incomprehensible] women at my head and feet You fold my arms across my chest You tell me friends that I'm gone to rest"", ""Yes, I'm coming (Yes, I'm coming) Yes, I'm coming (Yes, I'm coming) Yes, I'm coming Just like my time alone"", ""When I'm dead right there in my grave You're gonna be sorry That you treat me like a slave There ain't no one can take my place You're gonna cry your blues away"", ""Yes, I'm coming Yes, I'm coming Yes, I'm coming Just like my time alone"", ""What you gonna do on judgement day The time's run out now, you can't stay Screaming and crying, you got to go"", "" """
195,i shot the sheriff   ,"""I shot the sheriff But I did not shoot the deputy I shot the sheriff But I didn't shoot the deputy"", ""All around in my hometown They're trying to track me down They say they want to bring me in guilty For the killing of the deputy For the life of a deputy But I said I shot the sheriff"", ""But I swear it was in self defense I shot the sheriff And they say it is a capital offense"", ""Sheriff John Brown always hated me For what? I don't know But every time that I plant a seed He said \""Kill it before it grows\"" He said \""Kill it before it grows\"" I said I shot the sheriff But I swear it was in self defense I shot the sheriff But I swear it was in self defense Freedom came my way one day And I started out of town All of a sudden I see Sheriff John Brown Aiming to shoot me down So I shot, I shot him down I said"", ""I shot the sheriff But I did not shoot the deputy I shot the sheriff But I didn't shoot the deputy"", ""Reflexes got the better of me And what is to be must be Every day the bucket falls to the well One day the bottom will drop out Yes, one day the bottom will drop out I said I shot the sheriff But I didn't shoot the deputy Oh no, oh no I shot the sheriff But I did not shoot no deputy Oh no"""
196,dont let me be lonely tonight   ,"""Do me wrong, do me right, do me right baby. Tell me lies but hold, hold me tight. Save your goodbyes till the morning light, But don't let me be lonely tonight."", ""Say goodbye, woman say hello, say hello. It's sure enough good to see you, but it's time to go, And don't say yes, but please don't say no. I don't want to be lonely tonight."", ""Go away then, damn you, go on and do as you please, do as youplease, But you ain't going to see me getting down on my knees, Cause I'm undecided and your heart's been divided. You've been turning my world upside down."", ""Do me wrong, do me right, do me right baby. Go on and tell me lies but hold, hold me tight. And save your goodbyes till the morning light, But don't let me be lonely tonight."", ""Save your goodbyes till the morning light, But don't let me be lonely tonight. 'Cause I don't want to be lonely tonight."", ""I don't want to be lonely. Don't do it, don't do it, don't do it, don't do it."""
197,mothers lament   ,"""Are we rolling? A one, a two, a three, a four"", ""A mother was washing her baby one night The youngest of ten and a delicate mite The mother was poor and the baby was thin 'Twas naught but a skeleton covered with skin"", ""The mother turned 'round for a soap off the rack She was only a moment but when she turned back Her baby had gone and in anguish she cried \""Oh, where has my baby gone?\"" The angels replied"", ""Oh, your baby has gone down the plug hole Oh, your baby has gone down the plug The poor little thing was so skinny and thin He should have been washed in a jug, in a jug"", ""Your baby is perfectly happy He won't need a bath anymore He's a-muckin' about with the angels above Not lost but gone before"", ""Do you want to do it again?"""
198,on the road again   ,
199,little wing   ,
200,come on in my kitchen   ,"""Mmm... you better come on in my kitchen babe, it's goin' to be rainin' outdoors"", ""The woman I love, took from my best friend Some joker got lucky, stole her back again You better come on in my kitchen babe, it's goin' to be rainin' outdoors"", ""Oh, she's gone, I know she won't come back I've taken the last nickel out of her nation sack You better come on in my kitchen, baby, it's goin' to be rainin' outdoors"", ""Oh, can't you hear that wind howl? Can't you hear that wind howl? You better come on in my kitchen, baby, it's goin' to be rainin' outdoors"", ""When a woman gets in trouble, everybody throws her down Lookin' for her good friend, none can't be found You better come on in my kitchen, baby, it's goin' to be rainin' outdoors"", ""Winter time's comin', it's goin' to be slow You can make the winter, babe, that's dry long so You better come on in my kitchen, 'cause it's goin' to be rainin' outdoors You better come on in my kitchen, 'cause it's goin' to be rainin' outdoors"""
201,ben takes the apartment   ,
202,hard times   ,"""(by Ray Charles)"", ""My mother told me 'Fore she passed away Said son when I'm gone Don't forget to pray"", ""'Cause there'll be hard times Lord those hard times Who knows better than I?"", ""Well I soon found out Just what she meant When I had to pawn my clothes Just to pay the rent"", ""Talkin' 'bout hard times Lord those hard times Who knows better than I?"", ""I had a woman Who was always around But when I lost my money She put me down"", ""Talkin' 'bout hard times Hard times Yeah, yeah, who knows better than I?"", ""Lord, one of these days There'll be no more sorrow When I pass away"", ""And no more hard times No more hard times Yeah, yeah, who knows better than I?"""
203,aint nobodys business if i do   ,"""By porter grainger and everett robbins"", ""There ain't nothing I can do, or nothing I can say, Some folks will criticize me. So I'm gonna do just what I want to anyway, And don't care if you all despise me."", ""If I should take a notion To jump into the ocean, It ain't nobody's business if I do."", ""If I go to church on sunday And I shimmy down on monday, It ain't nobody's business if I do."", ""And if my friend ain't got no money And I say, \""all right, take all of mine honey,\"" It ain't nobody's business if I do."", ""If I lend her my last nickel And it leaves me in a pickle, It ain't nobody's business if I do."", ""I would rather my gal would hit me Than to haul right up and quit me. It ain't nobody's business if I do."", ""I know that she won't call no copper If she gets beat up by her poppa. It ain't nobody's business if I do, lord no. Well, it ain't nobody's business if I do."""
204,keep on growing   ,"""I was laughing Playing in the streets, I was unknowing I didn't know my fate"", ""Playing The game of love, but never really showing I thought that love could wait"", ""I was a young girl and sure to go astray You walked right into my life and told me love would find a way"", ""To keep on growing, keep on growing Keep on growing"", ""I was standing Looking in the face of one who loved me Feeling so ashamed"", ""Hoping And praying, Lord, that he could understand me"", ""But I didn't know his name He took my hand in his and told me I was wrong He said, you're gonna be all right girl, oh just as long"", ""As you keep on growing, keep on growing Keep on growing, yeah, yeah, yeah"", ""Maybe Someday baby, who knows where or when, Lord Just you wait and see"", ""We'll be walking Together hand in hand, alone forever Man just you and me"", ""'Cause time is gonna change us, Lord, and I know it's true Our love is gonna keep on glowing and growing and it's all we gotta do"", ""Keep on growing, keep on growing Keep on growing, yeah, yeah, yeah Keep on growing, keep on growing Keep on growing"""
205,goin away baby   ,"""Lord, I'm going away just to wear you off my mind Lord, I'm going away just to wear you off my mind Well you keep me worrying 'bout it all the time"", ""Well, I ain't been loved but four womens in my life Well, I ain't ever loved but four womens in my life Well, my mother and my sister, sweetheart and my wife"", ""If you don't want me baby, please don't call me 'round If you don't want me baby, please don't call me 'round Well, just like you found me, you can put me down"", ""Well now goodbye baby, if you call at home Well now goodbye baby, if you call at home You can go away; swear you won't stay long"""
206,n s u   ,"""by Jack Bruce"", ""Driving in my car, smoking my cigar, The only time I'm happy's when I play my guitar."", ""Sailing in my yacht, what a lot I got, Happiness is something that just cannot be bought."", ""I've been in and I'm out, I've been up and down, I don't want to go until I've been all around."", ""What's it all about, anyone in doubt, I don't want to go until I've found it all out."""
207,love in venice   ,
208,hell at home   ,
209,boom boom   ,"""Boom, boom, boom, boom I'm gonna shoot you right down Knock you off your feet And take you home with me"", ""Put you in my house Boom, boom, boom, boom Boom, boom, boom, boom Yeah, yeah, yeah, yeah"", ""I love to see you strut When you're walking to me When you're talking to me That knocks me out Now let's go"", ""Boom, boom, boom, boom You know I like it like that With your baby-talk Oh and the way that you walk"", ""You know it knocks me right down Knocks me off my feet Boom, boom, boom, boom Yeah, yeah, yeah, yeah"", ""Oh, oh, oh, oh How, how, how, how Yeah, yeah, yeah, yeah Now, now, now, now"""
210,blues powerhave you ever loved a woman   ,
211,milkcows calf blues   ,"""(Robert Johnson)"", ""Tell me, milk cow, What on Earth is wrong with you? Oh, milk cow, What on Earth is wrong with you? Now, you've left you a calf And your milk is turning blue."", ""Lord, your calf is hungry And I believe he needs a suck. Lord, your calf is hungry, I believe he needs a suck. Well, your milk is turning blue. I believe he's out of luck."", "" Now, I feel like milking and my cow won't come. I feel like churning and my milk won't turn. I'm cryin' please, Please, don't do me wrong. If you see my milk cow, baby now, Please drive her home."", ""Lord, my milk cow been rambling For miles around. Lord, my milk cow been rambling For miles around. Well, how can you suck on some other man's bull cow In this strange man's town?"""
212,low down   ,
213,away in a manger once in royal davids city   ,"""Away in a manger, no crib for His bed The little Lord Jesus lay down His sweet head The stars in the bright sky look down where He lay The little Lord Jesus, asleep on the hay"", ""Mary was that mother, mine Jesus Christ, her little child"", ""The cattle are lowing, the baby awakes But little Lord Jesus, no crying He makes I love Thee, Lord Jesus, come down from the sky And stay by my bedside 'til morning is nigh"", ""Mary was that mother, mine Jesus Christ, her little child Mary was that mother, mine Jesus Christ, her little, little child"", ""The stars in the bright sky look down where He lay The little Lord Jesus, asleep on the hay"", ""Mary was that mother, mine Jesus Christ, little child Mary was that mother, mine Jesus Christ, her little child Mary was that mother, mine Jesus Christ, her little child Mary was that mother, mine Jesus Christ, her little child"""
214,homeboy   ,
215,i cant hold out   ,"""I just talked to my baby on the telephone She said, \""Stop what you're doing, baby come on home\"" I can't hold out, I can't hold out too long I get a real good feelin' talking to you on the phone"", ""You said, \""Baby don't you worry, you're my heart's desire You know that I love you, I can't stand to see you cry\"" I can't hold out, can't hold out too long I get a real good feeling, talking to you on the phone"", ""She said, \""Baby you can run, you can walk or fly You know that I love you, you're my hearts desire\"" I can't hold out, I can't hold out too long I get a real good feeling talking to you on the phone, oh yeah"", ""Talk to me baby, talk to me baby Talk to me baby, talk to me baby I get a real good feelin' talking to you on the phone Ohh"", ""{Ha ha ha alright Seems alright}"""
216,hammerhead   ,
217,honey in your hips   ,"""by Kieth Relf"", ""When I get out on the dancing floor, There ain't no stopping for an hour more. I go rocking up and down and around and round. I go reeling to the beat of that crazy sound. I can't stop, I want to kiss your pretty lips, 'Cause I know, pretty babe, you got honey in your hips."", ""I can't stop my feet and I can't stop my hands When I hear the sound of a rock 'n' roll band. Gotta rock, gotta roll, gonna jump and shout; Nobody better come and turn me out. I'm staying all night till I get my kicks, 'Cause you know, pretty babe, you got honey in your hips."", ""I want you and you want me. We're gonna dance all night till we both feel free. We'll shake and we'll shimmy right across the floor. When it gets late, we'll dance out the door. You better get ready with your pretty lips, 'Cause you know, pretty babe, you got honey in your hips."""
218,cryin   ,"""by Eric Clapton"", ""She is cryin', she is cryin'. She's been cryin' all night long. She's been cryin' for her one and only son."", ""She will weep, she will moan. She will moan the night away. She will weep and moan until the break of day."", ""I had called for the doctor, But the doctor can't be found. So what could I do but sit and look around?"", ""Oh Lord, won't you hear, Won't you hear me when I pray. Please send this girl her one and only son."", ""She is cryin', she is cryin'. She is cryin' the whole night long. She is cryin' for her one and only son."""
219,dry cleaning get lost   ,"""I'm sorry. Why should I say I'm sorry? If I hurt you, You know you've hurt me too."", ""But you get lost inside your tears, And there is nothing I can do, 'Cause I get lost inside my fear That I am nothing without you."", ""You're angry. Why shouldn't you be angry? With what we've been through, Well I get angry too."", ""But you get lost inside your tears, And there is nothing I can do, 'Cause I get lost inside my fear That I am nothing without you."""
220,i shot the sherriff   ,
221,beware of darkness   ,"""Watch out now, take care Beware of falling swingers Dropping all around you The pain that often mingles In your fingertips, beware of darkness (Beware of darkness)"", ""Watch out now, take care Beware of thoughts that linger Winding up inside your head The hopelessness around you In the dead of night"", ""Beware of sadness It can hit you, it can hurt you Make you sore and what is more That is not what you are here for"", ""Watch out now, take care Beware of soft shoe shufflers Dancing down the sidewalks As each unconscious sufferer Wanders aimlessly Beware of Maya"", ""Watch out now, take care Beware of greedy leaders They take you where you should not go While Weeping Atlas Cedars They just want to grow, grow and grow Beware of darkness (Beware of darkness)"""
222,i aint gonna stand for it   ,
223,catch me if you can   ,"""by Eric Clapton and Gary Brooker"", ""Catch me if you can; I won't be easy to find. I got a woman at home that's driving me out of my mind. Catch me if you can; it won't be easy to do. And I'm warning you brother I won't be leaving no clues."", ""Catch me if you can; I won't be leaving no scent. I've been running the wrong way, I think it's time that I went. Believe me, I'm a man; I ain't easy to tend. And I'm moving on out, so catch me if you can."", ""There's no use bothering with the lost and found. You'd better find a shovel, 'cause I've gone to ground. Little girl never did pay me no mind. I guess I'll have to go and leave her behind. So . . ."", ""First Verse"", ""Chorus"", ""First Verse"""
224,believe in life   ,"""When the world has seen the light At the beginning of the day, You will let me call your name, 'Cause I love you more than light, And it will always be this way As long as I believe in life."", ""When the morning comes too soon And I am still without your love, You will let me call your name, 'Cause I love you more than light, And it will always be this way As long as I believe in life."", ""Whatever happened to the girls I used to know? Whatever happened to the places that we'd go? When we were running in and out of time, But all the time we still believed in life. We were running in and out of time, But still believed in life."", ""And when the day is almost done And there is nothing left to say, You will let me call your name, 'Cause I love you more than light, And it will always be this way As long as I believe in life."", ""Running in and out of time, But still believed in life."", ""And when the day is almost done And there is nothing left to say, You will let me call your name, 'Cause I love you more than light, And it will always be this way As long as I believe, As long as you believe, As long as I believe that you believe, then I'll believe, I'll believe in life. As long as I believe that you believe, then I'll believe, I'll believe in life."", ""Believe in life. I believe in life. I believe in life."""
225,change it   ,
226,heaven is one step away   ,"""We searched all through the night I couldn't find it, you couldn't find it I knew something wasn't right I couldn't find it, you couldn't find it"", ""And they say Heaven is one step away Heaven is one step away"", ""And then there came the dawn I couldn't find it, you couldn't find it I just had to carry on I couldn't find it, you couldn't find it"", ""And they say Heaven is one step away (Just one step away) Heaven is one step away (Just one step away)"", ""We didn't leave till a quarter to three All your friends, they were laughing at me I don't get it, I don't understand Who is that man holding your hand?"", ""We searched all through the night (All night) I couldn't find it, you couldn't find it I knew something wasn't right (Not right) I couldn't find it, you couldn't find it"", ""And they say Heaven is one step away (Just one step away) Heaven is one step away (Just one step away)"", ""Heaven is one step away (Just one step away) Heaven is one step away (Just one step away)"", ""Heaven is one step away (Just one step away) Heaven is one step away (Just one step away)"", ""Heaven is one step away Heaven is just one step away Heaven is one step away Heaven is just one step away"", ""Heaven is one step away Heaven is just one step away Heaven is one step away Heaven is just one step away"""
227,old love   ,"""I can feel your body When I'm lying in my bed There's too much confusion Going around through my head"", ""It makes me so angry To know that the flame still burns Why can't I get over? When will I ever learn?"", ""Old love, leave me alone Old love, go on home"", ""I can see your face But I know that it's not real Just an illusion Caused by how I used to feel"", ""It makes me so angry To know that the flame will always burn I'll never get over Know now that I'll never learn"", ""Old love, leave me alone Old love, go on home"", ""Old love, leave me alone Old love, go on home"""
228,before you accuse me take a look at yourself   ,"""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"", ""I called your mama 'bout three or four nights ago I called your mama 'bout three or four nights ago Well your mother said \""Son\"" \""Don't call my daughter no more\"""", ""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"", ""Come back home baby, try my love one more time Come back home baby, try my love one more time If I don't go on and quit you I'm gonna lose my mind"", ""Before you accuse me, take a look at yourself Before you accuse me, take a look at yourself You say I've been spending my money on other women You've been taking money from someone else"""
229,kind hearted woman   ,"""I've got a kind hearted woman, she studies evil all the time. i've got a kind hearted woman, she studies evil all the time. you would do to quit me as just to have it on your mind."", ""i've got a kind hearted woman, do anything in this world for me. i've got a kind hearted woman, do anything in this world for me. but these evil hearted women, lord, and they will not let me be."", ""now it ain't but one thing makes mr. clapton drink. i swear about how you treat me baby, i begin to think. oh baby, my life don't feel the same. it breaks my heart when you call mr. so-and-so's name."", ""she's a kind hearted woman, she studies evil all the time. she's a kind hearted woman, she studies evil all the time. you're best to quit me baby as just to have it on your mind."""
230,hung up on your love   ,"""I was ready to take a chance I found myself a new romance Then you call that same old night Always change my mind"", ""Oh no, not again Oh no, not again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back Now I'm hung up on your love again"", ""Just as I was doing good You come back just to prove you could Things will always be the same With me the victim of the game"", ""Oh no, not again Oh no, not again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back Now I'm hung up on your love again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back Now I'm hung up on your love again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back Now I'm hung up on your love again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back And I'm hung up on your love again"", ""Just when I thought it was over you come back And I'm hung up on your love again Just when I thought I was free you come back Now I'm hung up on your love again"""
231,good morning little schoolgirl   ,"""by H. G. Demarais"", ""Good morning, little schoolgirl. Good morning, little schoolgirl. Can I go home with you? Won't you let me go home with you, So I can hug, hug, squeeze, squeeze? If you let me I can tease you baby. Hey, hey hey hey. Hey hey hey hey. Hey, yeah."", ""Let's dance, little schoolgirl. Let's dance, little schoolgirl. Won't you let me take you to the hop, hop, Have a party at the soda shop So we can do the twist, do the stroll To the music of the rock 'n' roll. Hey, hey hey hey. Hey hey hey hey. Hey, yeah."", ""First Verse"", ""Good morning, little schoolgirl. Good morning, little schoolgirl. Can I go home with you? Won't you let me go home with you? Tell your mama and your papa that I love you. Tell your sisters and your brother that I love you. Hey, hey hey hey. Hey, hey hey hey. Hey, hey hey hey. Hey, hey hey hey."""
232,i cant stand it   ,"""You've been told, so maybe it's time that you learned You've been sold, maybe it's time that you earned"", ""I can't stand it You're fooling around, I can't stand it You're running around, I won't stand it You're fooling around with my heart"", ""I'll explain, I feel like I'm being used Make it plain, so you don't get confused"", ""I can't stand it You're fooling around, I won't stand it You're running around, I can't stand it You're fooling around with my heart"", ""I can't stand it You're running around, I can't stand it You're fooling around, I can't stand it You're playing around with my heart"", ""It's time, time for me to let you know Ain't no crime, no crime to let your feelings show"", ""I can't stand it You're running around, I can't stand it You're playing around, I can't stand it You're fooling around, I can't stand it You're running around, I can't stand it"", ""You're playing around, I can't stand it Fooling around, I can't stand it Running around, I can't stand it Running around, I won't stand it"", ""Running around, I won't stand it You're fooling around, I won't stand it Playing around I won't stand it Running around with my heart You're fooling around with my heart My heart"", ""Running around, fooling around with my heart Fooling around, I can't stand it Running around, I won't stand it Fooling around, I won't stand it"", ""Fooling around, I won't stand it Fooling around, I won't stand it Running around, I won't stand it Fooling around, I can't stand it"", ""Running around it Running around it Running around it ..."""
233,badge live   ,"""Thinkin' 'bout the times you drove in my car. Thinkin' that I might have drove you too far. And I'm thinkin' 'bout the love that you laid on my table."", ""I told you not to wander 'round in the dark. I told you 'bout the swans, that they live in the park. Then I told you 'bout our kid, now he's married to Mabel."", ""Yes, I told you that the light goes up and down. Don't you notice how the wheel goes 'round? And you better pick yourself up from the ground Before they bring the curtain down, Yes, before they bring the curtain down."", ""Talkin' 'bout a girl that looks quite like you. She didn't have the time to wait in the queue. She cried away her life since she fell off the cradle."""
234,double trouble   ,"""(by Otis Rush)"", ""Lay awake at night, Oh so low, just so troubled. Can't get a job, Laid off and I'm having double trouble."", ""Hey hey, to make you've got to try. Baby, that's no lie. Some of this generation is millionaires; I can't even keep decent clothes to wear."", ""Laugh at me walking, And I have no place to go. Bad luck and trouble has taken me; I have no money to show."", ""Chorus"""
235,innocent times   ,"""by Eric Clapton and Marcy Levy"", ""I was a child born so free; It seems that time has put age on me. And when I grow old, will I once again find All of those sweet, innocent times?"", ""I was a child born without fear; It seems that time has placed me here. With no freedom to laugh, there's more reason to cry. I really miss those innocent times."", ""I used to feel joy in my soul, But now my sorrow has taken control. As I look around I pray, Lord be kind; Just one more taste of those innocent times."", ""As I look around I pray, Lord be kind; Just one more taste of those innocent times, Just one more taste of those innocent times."""
236,layla unplugged   ,
237,outside woman blues   ,"""If you lose your money, great God, don't lose your mind If you lose your money, great God, don't lose your mind And if you lose your woman, please don't fool with mine"", ""I'm gonna buy me a bulldog, watch my lady whilst I sleep I'm gonna buy me a bulldog, watch my lady whilst I sleep 'Cause women these days, they're so doggone crooked That they might make off 'fore day creep"", ""Well, you can't watch your wife and your outside women, too You know you can't watch your wife and your outside womens, too 'Cause when you're out with your women, your wife will be at home Cooking your food, doing a dirt, buddy what you trying to do?"", ""You can't watch your wife and your outside women, too You know you can't watch your wife and your outside women, too When you're out with your women, your wife will be at home Doing a dirt, cooking your food, buddy what you trying to do?"""
238,ive told you for the last time   ,"""Well, I've told you for the last time Told you for the last time I'm gonna turn on my love light Let it shine one more time Let it shine, shine, shine for the last time"", ""There's gonna be a big change made and I'm gonna make it This time I'm gonna lay it on the line I got a lot to give when you're woman enough to take it, oh yeah I'm gonna turn on my love light Let it shine one more time Let it shine, shine, shine for the last time"", ""I sure want to love you baby, baby if you'd only let me You only pick me up just to put me down I finally let my mind make a decision, oh yeah I'm gonna start my wheels a-spinnin' Let 'em turn one more time Let 'em turn, oh yeah, for the last time"", ""Well, I've told you for the last time Told you for the last time I'm gonna turn on my love light Let it shine, oh yeah Shine, shine, shine, oh yeah yeah yeah"", ""Let it shine Let it shine Let it shine"", ""Well, I've told you Yes, I've told you Yes, I've told you Yes, I've told you"", ""Yes, I've told you Yes, I've told you For the last time For the last time Last time, yeah"""
239,bad boy   ,"""by Bonnie Bramlett and Eric Clapton"", ""I'm just a bad boy, long long ways from home. I'm just a bad boy, long long ways from home. But I ain't got nobody to bury me when I'm dead and gone."", ""Well I'm the cat that scratches and I'm like a dog that bites. I'll be your box of matches, baby, when you need a light."", ""Chorus"", ""I used to have a little girl, only 16 years old, But her mom and dad put me way out, way out in the cold. I can't stay here no longer, my luck is running slow. Gotta keep on moving but I ain't got no place to go."", ""Chorus"""
240,goodnight irene   ,"""Last Saturday night I got married Me and my wife settled down Now me and my wife are parted Gonna take a little stroll downtown"", ""Irene goodnight, Irene goodnight Goodnight Irene, Goodnight Irene I'll see you in my dreams"", ""Stop ramblin', stop your gamblin' Stop stayin'out late at night Come home to your wife and your family And sit by the fire so bright"", ""Irene goodnight, Irene goodnight Goodnight Irene, Goodnight Irene I'll see you in my dreams"", ""I love Irene, God knows I do Love her 'til the rivers run dry If irene should ever turn her back on me Gonna take morphine and die"", ""Irene goodnight, Irene goodnight Goodnight Irene, Goodnight Irene I'll see you in my dreams Irene goodnight, Irene goodnight Goodnight Irene, Goodnight Irene I'll see you in my dreams Goodnight Irene, Goodnight Irene I'll see you in my dreams"""
241,early in the morning   ,"""When a girl reach the age of eighteen She begins to think she's grown And hat's the kind of little girl You can never find at home"", ""Come and see me early in the morning Just about the break of day Want to see me hug my pillow Where my baby used to lay?"", ""One drink of wine Two drinks of gin Pretty young got me In the shape I'm in"", ""Come and see me early in the morning Just about the break of day Want to see me hug my pillow Where my baby used to lay?"", ""I pass by the juke joint Look through the door She's doing the boogie-woogie In the middle of the floor"", ""Come and see me early in the morning Just about the break of day Want to see me hug my pillow Where my baby used to lay?"", ""When a girl reach the age of eighteen She begins to think she's grown And hat's the kind of little girl You can never find at home"", ""Come and see me early in the morning Just about the break of day Want to see me hug my pillow Where my baby used to lay?"""
242,have yourself a merry little christmas   ,"""Have yourself a merry little Christmas Let your heart be light From now on Your troubles will be out of sight"", ""Have yourself a merry little Christmas Make the Yuletide gay From now on, all our troubles will be miles away"", ""Once again, as in olden days Merry golden days of yore Faithful friends who are dear to us Will be near to us, once more"", ""Someday soon we all will be together If the fate's allow Until then we'll have to muddle through somehow So have yourself a merry little Christmas now"""
243,all of me   ,"""All of me, why not take all of me? Can't you see I'm no good without you? Take my lips, I wanna lose them Take my arms, I never use them"", ""Your goodbyes they left me with eyes that cry How can I get along without you? You took the part that once was my heart So why not take all of me?"", ""Your goodbyes left me with eyes that cry Now I am lost without you And now that you took that part that used to be my heart"", ""All of me, why not take all of me? Can't you see I'm a mess without you? You took the part that used to be my heart So why not take all of me?"""
244,fall like rain   ,"""Tell me why did i fall in love with you? Tell me why did i fall in love with you? Tore me all to pieces cut me half in two. Tell me why did i fall in love with you? Tell me why do my tears fall like rain? Tell me why do my tears fall like rain? Tore me all to pieces nothing else remains. Tell me why do my tears fall like rain? Worry worry worry; Worry all day long. Don't know where i'm going; Don't know right from wrong. Tell me why, tell me why."", ""Tell me why, tell me why. Tell me why did i fall in love with you? Tell me why did i fall in love with you? Tore me all to pieces, cut me half in two. Tell me why did i fall in love with you? Tell me why do my tears fall like rain? Tell me why do my tears fall like rain? Tore me all to pieces, nothing else remains. Tell me why do my tears fall like rain? Fall like rain, fall like rain. Fall like rain, fall like rain. Fall like rain, fall like rain. Fall like rain, fall like rain."""
245,everybody oughta make a change   ,"""Everybody Oughta Make A Change (by Sleepy John Estes)"", ""Change in the weather, change in the sea, Come back baby, you'll find a change in me. Everybody, they ought to change sometime, Because sooner or later we have to go down in that lonesome ground."", ""I changed suits, I changed shirts, I changed, baby, just to get shed of the dirt. Everybody, we ought to change sometime, Because sooner or later we're going down in that lonesome ground."", ""I changed honey, I changed money, I changed, people, just to keep from being funny. Everybody, they ought to change sometime, Because sooner or later we're going down in that lonesome ground."", ""Change in the ocean, change in the sea, Come back baby, you'll find a change in me. Everybody, we ought to change sometime, Because sooner or later we're going down in that lonesome ground."""
246,32 20   ,"""I walked all night long With my 32-20 in my hand. I walked all night long With my 32-20 in my hand. Looking for my woman, Well, I found her with another man."", ""When I found that woman, They were walking hand in hand. When I found that woman, They were walking hand in hand. Well, it did surprise me When I found her with another man."", ""She started screaming murder And I had never raised my hand. She started screaming murder And I had never raised my hand. Well, she knew that I had them covered, I had the stuff right there in my hand."", ""I ain't no bully, I don't go with the baddest man in town. I ain't no bully, I don't go with the baddest man in town. When I catch a man with my woman, I usually tear his playhouse down."""
247,alabama woman   ,
248,dont cry sister   ,
249,angel   ,"""All up and down the boulevard All the boys are looking hot Tryina score, tryina make a pass Anything at all, don't have to last"", ""Angel, she's afraid now She don't know about the street guys She don't know how to hurt you deep Let her play for keeps"", ""Cut you like a knife, angel When you survive Cut you like a knife, angel Street life"", ""Blue hard hands and car trucks Hustlers, lovers, come out the dark They all know, and it's a fact Angel, you better stand back Sun cools down, the street come to life Here come the boys with all the drive Anyone can do this They don't really care,"", ""They cut you like a knife, angel When you survie Cut you like a knife, angel Street life"", ""All up and down the boulevard All the boys are looking hot Tryina score, tryina make a pass Anything at all, don't have to last"", ""Cut you like a knife, angel When you survive Cut you like a knife, angel Street life Cut you like a knife, angel When you survive Cut you like a knife, angel Street life."""
250,blues power   ,"""Bet you didn't think I knew how to rock 'n' roll Oh, I got the boogie-woogie right down in my very soul There ain't no need for me to be a wallflower 'Cause now I'm living on blues power"", ""I knew all the time but now I'm gonna let you know: I'm gonna keep on rocking, no matter if it's fast or slow Ain't gonna stop until the twenty-fifth hour 'Cause now I'm living on blues power"", ""Bet you didn't think I knew how to rock 'n' roll Oh, I got the boogie-woogie right down in my very soul There ain't no need for me to be a wallflower 'Cause now I'm living on blues power"", ""Talking to you, now The boogie's gonna pull me through Keep on, keep on, keep on keeping on Keep on keeping on, keep on keeping on"""
251,loving you is sweeter than ever   ,
252,find myself   ,"""We took the long way home, you held my hand, The days so full of all the things we had planned. We walked beyond the green, beyond the day. We shared a dream that I let slip away."", ""I had to find myself. I had to find myself. No use looking for no one else, 'Cause I'll be lonely till I find myself."", ""You were the man who knew too much to say. So many things that I learned came your way. These things I know that I can't forget, Deep in my heart, they're a part of me yet."", ""They helped me find myself. They helped me find myself. No use looking for no one else, 'Cause I'll be lonely till I find myself."", ""Too many years rolled by without a word. I tried to hide behind things that I'd heard. And now the truth is clear for all to see That through it all, it was you believed in me."", ""You helped me find myself. I had to find myself. No use looking for no one else, 'Cause I'll be lonely till I find myself."", ""I got to find myself. I got to find myself. No use looking for no one else, 'Cause I'll be lonely till I find myself."""
